record,uuid,start_date,date,status,hCountry,dTrack,LOIM,xpanelPartner,QualityScore_TOTAL,QC_FLAGSr1,S0,S1,S2r1,S2r2,S2r3,S2r4,S2r5,S2r6,S2r7,S2r8,S2r99,S3,S4r1,S4r2,S4r3,S4r4,S4r99,S5r1,S5r2,S5r3,S5r4,S5r99,S5r98,S6,S6r97oe,S7r1,S7r2,S7r3,S7r4,S7r5,S7r6,S7r7,S7r8,S7r9,S7r10,S7r97,S7r98,S7r97oe,S8,S9r1,S9r2,S9r3,S9r4,S9r5,S9r6,S9r7,S9r8,S9r9,S9r10,S9r99,hS9CountSwitchers,TimeSection_Screener,Q1,Q2,Q3r1,Q3r2,Q3r3,Q3r4,Q3r5,Q3r6,Q3r7,Flag_Q3_SL,Q4,Q5r1,Q6r1,Q6r2,Q6r3,Q6r4,Q6r5,Q6r6,Q6r7,Flag_Q6,Flag_Q6_SL,Q7r1,Q7r2,Q7r3,Q7r4,Q7r5,Flag_Q7_SL,Q8,Q9,hACUVUE,hBAUSCH,TimeSection_Section_A
4048,nzkuebjcjsvgr3kz,8/29/2025 11:22,8/29/2025 11:28,Qualified,USA,No Changes,5.18,NextON,91.395635725300000,1,"Yes, I consent",Male,No,No,No,No,No,No,No,No,Yes,47,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,Yes,No,No,No,No,No,No,No,No,No,No,,7 to 12 months ago,Yes,,No,No,No,No,No,No,No,No,No,No,2.96,8,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,No,Satisfied,i  would say lens are of good quality  and very easy to wear and also  have good  vision,Agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,No,No,Applies,Applies,Applies,Applies,Applies,Yes,Agree,Agree,Yes,No,2.17
4049,141t4z32nj7b35j9,8/29/2025 11:24,8/29/2025 11:38,Qualified,USA,No Changes,12.78,NextON,73.192838263900000,1,"Yes, I consent",Male,No,No,No,No,No,No,No,No,Yes,43,No,No,No,Yes,No,No,Yes,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,Yes,No,No,No,No,No,No,No,No,No,No,,1 to 2 years ago,No,,No,No,No,Yes,No,No,No,No,No,No,9.86,9,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,No,Strongly satisfied,"I experience no dryness or irritation, making them perfect for long wear and they are disposable design",Strongly agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Agree,No,No,Applies,Applies,Applies,Applies,Applies,Yes,Strongly agree,Strongly agree,Yes,No,2.89
4050,ap9ux6nrcy5170zf,8/29/2025 11:24,8/29/2025 11:38,Qualified,USA,No Changes,12.75,NextON,85.201146508200000,1,"Yes, I consent",Male,No,No,No,No,No,No,No,No,Yes,42,No,No,No,Yes,No,Yes,No,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,Yes,No,No,No,No,No,No,No,No,No,No,,1 to 2 years ago,No,,No,No,No,Yes,No,No,No,No,No,No,9.93,8,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,No,Satisfied,vision remains consistently sharp and clear in different lighting conditions,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Agree,Strongly agree,No,No,Applies,Applies,Applies,Applies,Applies,Yes,Agree,Agree,Yes,No,2.80
4055,rk85xkaffq64jz1v,8/29/2025 11:31,8/29/2025 11:35,Qualified,USA,No Changes,3.78,NextON,81.114702424500000,1,"Yes, I consent",Female,No,No,No,No,No,No,No,No,Yes,38,No,No,No,Yes,No,Yes,No,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,No,No,No,No,No,No,No,No,Yes,No,No,,7 to 12 months ago,No,No,Yes,No,Yes,No,No,No,No,,No,No,1.81,17,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,No,Strongly satisfied,"Makes daily lens routine simple and stress free, does not require frequent eye drop.",Agree,Agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,No,No,Applies,Applies,Applies,Applies,Applies,Yes,Agree,Agree,No,Yes,1.94
4063,wum802acjqbf67dh,8/29/2025 11:40,8/29/2025 11:48,Qualified,USA,No Changes,6.23,NextON,85.660642248100000,1,"Yes, I consent",Male,No,No,No,No,No,No,No,No,Yes,43,No,No,No,Yes,No,No,Yes,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,Yes,No,No,No,No,No,No,No,No,No,No,,1 to 2 years ago,No,,No,No,No,Yes,No,No,No,No,No,No,2.09,10,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,No,Strongly satisfied,"These lenses feels extremely light, almost like wearing not anything at all and they are easy to insert and remove",Agree,Agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,No,No,Applies,Applies,Applies,Applies,Applies,Yes,Strongly agree,Strongly agree,Yes,No,4.10
4150,dm7h12rtkw9p8j8n,8/29/2025 13:18,8/29/2025 13:29,Qualified,USA,No Changes,9.85,NextON,27.932262043400000,0,"Yes, I consent",Male,No,No,No,No,No,No,No,No,Yes,31,No,No,No,Yes,No,No,Yes,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,No,No,No,No,No,No,No,No,Yes,No,No,,More than 2 years ago,No,No,No,No,No,Yes,No,No,No,,No,No,3.39,11,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,No,Strongly satisfied,Provides crisp vision with minimal blurriness.,Strongly agree,Strongly agree,Agree,Agree,Strongly disagree,Strongly agree,Agree,No,No,Does not Apply,Applies,Does not Apply,Does not Apply,Does not Apply,No,Strongly agree,Strongly agree,No,Yes,6.42
4151,hzdz3qmhu8t2zfvz,8/29/2025 13:19,8/29/2025 13:29,Qualified,USA,No Changes,9.62,NextON,37.466874307200000,0,"Yes, I consent",Male,No,No,No,No,No,No,No,No,Yes,31,No,No,No,Yes,No,No,Yes,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,No,No,No,No,No,No,No,No,Yes,No,No,,More than 2 years ago,No,No,No,No,No,Yes,No,No,No,,No,No,2.92,8,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Strongly satisfied,Allows more oxygen to reach the eyes keeping them healthy.,Neither agree nor disagree,Agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,No,No,Applies,Does not Apply,Applies,Applies,Applies,No,Agree,Agree,No,Yes,6.65
4153,gg896tmd8p545fs9,8/29/2025 13:19,8/29/2025 13:29,Qualified,USA,No Changes,9.55,NextON,44.870912493300000,1,"Yes, I consent",Male,No,No,No,No,No,No,No,No,Yes,31,No,No,No,Yes,No,No,Yes,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,No,No,No,No,No,No,No,No,Yes,No,No,,More than 2 years ago,No,No,No,No,No,Yes,No,No,No,,No,No,2.85,10,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,No,Strongly satisfied,They use s unique material that keeps eyes hydrated.,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly agree,No,No,Applies,Applies,Applies,Applies,Applies,Yes,Strongly agree,Strongly agree,No,Yes,6.67
4163,q1272gfd3nr100kf,8/29/2025 13:34,8/29/2025 13:43,Qualified,USA,No Changes,7.72,NextON,41.283376907600000,0,"Yes, I consent",Male,No,No,No,No,No,No,No,No,Yes,31,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,No,No,No,No,No,No,No,No,Yes,No,No,,1 to 2 years ago,No,No,No,No,No,No,Yes,Yes,No,,No,No,2.06,11,Agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,No,Strongly satisfied,I feel like i have perfect vision without anything on my eyes,Agree,Agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly agree,No,No,Does not Apply,Applies,Applies,Applies,Applies,No,Strongly agree,Agree,No,Yes,5.62
4164,et3xzw3evyu0j6be,8/29/2025 13:34,8/29/2025 13:43,Qualified,USA,No Changes,7.72,NextON,39.439914106000000,0,"Yes, I consent",Male,No,No,No,No,No,No,No,No,Yes,32,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,No,No,No,No,No,No,No,No,Yes,No,No,,1 to 2 years ago,No,No,No,Yes,Yes,No,No,No,No,,No,No,1.98,10,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,No,Strongly satisfied,They provide excellent value for my health and comfort investment,Agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Agree,Neither agree nor disagree,No,No,Does not Apply,Applies,Does not Apply,Applies,Applies,No,Agree,Strongly agree,No,Yes,5.71
4165,v6hjh0fqcsyuvq8f,8/29/2025 13:34,8/29/2025 13:43,Qualified,USA,No Changes,7.53,NextON,61.867019694500000,0,"Yes, I consent",Female,No,No,No,No,No,No,No,No,Yes,30,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,No,No,No,No,No,No,No,No,Yes,No,No,,More than 2 years ago,No,No,Yes,No,No,Yes,No,No,No,,No,No,1.94,8,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Agree,No,Satisfied,They are the perfect solution for my sensitive dryness prone eyes,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,No,No,Does not Apply,Applies,Applies,Applies,Applies,No,Strongly agree,Neither agree nor disagree,No,Yes,5.56
4168,0w6ke1096auk7gsx,8/29/2025 13:38,8/29/2025 13:45,Qualified,USA,No Changes,6.55,NextON,58.686444114400000,0,"Yes, I consent",Male,No,No,No,No,No,No,No,No,Yes,32,No,No,No,Yes,No,No,Yes,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,No,No,No,No,No,No,No,No,Yes,No,No,,More than 2 years ago,No,No,No,No,No,Yes,No,No,No,,No,No,2.26,9,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,No,Strongly satisfied,Blocks harmful UVA/UVB rays.,Strongly agree,Strongly agree,Agree,Agree,Strongly disagree,Agree,Agree,No,No,Applies,Applies,Applies,Does not Apply,Applies,No,Neither agree nor disagree,Strongly agree,No,Yes,4.26
4169,ycd9va812w71x2wu,8/29/2025 13:38,8/29/2025 13:46,Qualified,USA,No Changes,6.53,NextON,54.249909684100000,0,"Yes, I consent",Female,No,No,No,No,No,No,No,No,Yes,31,No,No,No,Yes,No,No,Yes,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,No,No,No,No,No,No,No,No,Yes,No,No,,More than 2 years ago,No,No,No,No,No,Yes,No,No,No,,No,No,2.11,11,Strongly agree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,No,Neither satisfied nor dissatisfied,Designed to minimize irritation.,Agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,No,No,Applies,Does not Apply,Does not Apply,Applies,Applies,No,Strongly agree,Agree,No,Yes,4.41
4170,fba82yvpbuqk7nwp,8/29/2025 13:38,8/29/2025 13:46,Qualified,USA,No Changes,6.97,NextON,49.218119663500000,1,"Yes, I consent",Female,No,No,No,No,No,No,No,No,Yes,34,No,No,No,Yes,No,No,Yes,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,No,No,No,No,No,No,No,No,Yes,No,No,,More than 2 years ago,No,No,No,No,No,Yes,No,No,No,,No,No,2.00,9,Neither agree nor disagree,Strongly agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,No,Satisfied,No cleaning or strong just fresh lenses everyday.,Agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Agree,No,No,Applies,Applies,Applies,Applies,Applies,Yes,Strongly agree,Strongly agree,No,Yes,4.91
4171,g3dswjsf79kj3kq9,8/29/2025 13:38,8/29/2025 13:46,Qualified,USA,No Changes,6.55,NextON,59.374526176600000,1,"Yes, I consent",Female,No,No,No,No,No,No,No,No,Yes,33,No,No,No,Yes,No,No,Yes,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,No,No,No,No,No,No,No,No,Yes,No,No,,More than 2 years ago,No,No,No,No,No,Yes,No,No,No,,No,No,1.87,9,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Neither agree nor disagree,No,Satisfied,Thin yet strong easy to put in and remove.,Agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Agree,Agree,No,No,Applies,Applies,Applies,Applies,Applies,Yes,Agree,Agree,No,Yes,4.65
4172,ypstud6sbj96be7s,8/29/2025 13:38,8/29/2025 13:46,Qualified,USA,No Changes,6.70,NextON,46.732594678800000,0,"Yes, I consent",Male,No,No,No,No,No,No,No,No,Yes,35,No,No,No,Yes,No,No,Yes,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,No,No,No,No,No,No,No,No,Yes,No,No,,More than 2 years ago,No,No,No,No,No,Yes,No,No,No,,No,No,1.79,11,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,No,Satisfied,Almost like not wearing lenses at all,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly disagree,Agree,Agree,No,No,Applies,Applies,Applies,Does not Apply,Does not Apply,No,Strongly agree,Strongly agree,No,Yes,4.88
4177,6j1t6bud2eqpnv61,8/29/2025 13:52,8/29/2025 14:02,Qualified,USA,No Changes,9.25,NextON,59.238750955300000,0,"Yes, I consent",Male,No,No,No,No,No,No,No,No,Yes,38,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,No,No,No,No,No,No,No,No,Yes,No,No,,1 to 2 years ago,No,No,Yes,No,No,Yes,No,No,No,,No,No,3.70,8,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,No,Strongly satisfied,They have eliminated my need for emergency comfort drops entirely,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree,No,No,Does not Apply,Applies,Applies,Applies,Applies,No,Agree,Strongly agree,No,Yes,5.52
4178,rgpu61b0dhq6q5xy,8/29/2025 13:52,8/29/2025 14:02,Qualified,USA,No Changes,9.08,NextON,53.930806659200000,0,"Yes, I consent",Female,No,No,No,No,No,No,No,No,Yes,39,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,No,No,No,No,No,No,No,No,Yes,No,No,,More than 2 years ago,Yes,No,Yes,No,No,No,No,No,No,,No,No,3.92,11,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,No,Strongly satisfied,THey offer superior comfort that feels customized to my eyes,Strongly agree,Strongly agree,Agree,Agree,Strongly disagree,Neither agree nor disagree,Strongly agree,No,No,Does not Apply,Applies,Applies,Applies,Applies,No,Strongly agree,Neither agree nor disagree,No,Yes,5.12
4261,zmcetnabs6r06p9c,8/29/2025 23:52,8/29/2025 23:56,Qualified,USA,No Changes,4.15,Dynata,69.205354229800000,1,"Yes, I consent",Male,No,No,No,No,No,No,No,No,Yes,39,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,Yes,No,No,No,No,No,No,No,No,No,No,,7 to 12 months ago,Yes,,No,No,No,No,No,No,No,Yes,No,Yes,1.67,18,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,No,Strongly satisfied,Keep my eyes mosit are comfortable to wear and provide good vision,Agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Agree,No,No,Applies,Applies,Applies,Applies,Applies,Yes,Agree,Strongly agree,Yes,No,2.47
4589,6bk9kjnpjcg6m4aj,8/31/2025 0:10,8/31/2025 0:16,Qualified,USA,No Changes,5.18,Dynata,63.868555775100000,0,"Yes, I consent",Female,No,No,No,No,No,No,No,No,Yes,33,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,Yes,No,No,No,No,No,No,No,No,No,No,,More than 2 years ago,Yes,,No,No,No,No,No,No,No,No,No,No,1.07,9,Agree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,No,Satisfied,I can see very clearly. I didn't have any negative reaction from the lens,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Agree,Agree,No,No,Does not Apply,Does not Apply,Does not Apply,Applies,Applies,No,Strongly agree,Agree,Yes,No,4.10
4712,trmf8z811fyrzhs1,8/31/2025 11:27,8/31/2025 11:32,Qualified,USA,No Changes,4.47,Elicit,39.782389265800000,1,"Yes, I consent",Female,No,No,No,No,No,No,No,No,Yes,37,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,Yes,No,No,No,No,No,No,No,No,No,No,,More than 2 years ago,Yes,,No,No,No,No,No,No,No,No,No,No,2.20,12,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Satisfied,"Overall, I am grateful for the comfort ad vision they provide me. I did not give them a higher rating because they are times that I am bothered by them or my vision feels off.",Agree,Strongly agree,Agree,Agree,Strongly disagree,Agree,Strongly disagree,No,No,Does not Apply,Does not Apply,Applies,Applies,Applies,No,Agree,Agree,Yes,No,2.24
4966,xdkahx1tjehcfqc2,9/1/2025 22:16,9/1/2025 22:30,Qualified,USA,No Changes,13.53,Dynata,70.509389385800000,0,"Yes, I consent",Female,No,No,No,No,No,No,No,No,Yes,31,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,Yes,No,No,No,No,No,No,No,No,No,No,,More than 2 years ago,No,,Yes,No,No,No,No,No,No,No,No,No,2.16,15,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,No,Satisfied,They have moisture and allow enough oxygen flow to my eye for a comfortable and a hydrating fit.,Strongly agree,Agree,Agree,Agree,Strongly disagree,Strongly agree,Agree,No,No,Applies,Applies,Applies,Does not Apply,Applies,No,Strongly agree,Agree,Yes,No,11.36
5342,z8eqvh8r4jm1psru,9/3/2025 14:42,9/3/2025 14:50,Qualified,USA,No Changes,6.53,NextON,71.199982362600000,0,"Yes, I consent",Female,No,No,No,No,No,No,No,No,Yes,34,No,No,No,Yes,No,No,Yes,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,Yes,No,No,No,No,No,No,No,No,No,No,,1 to 2 years ago,Yes,,No,No,No,No,No,No,No,No,No,No,1.91,10,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,No,Strongly satisfied,These lenses are very affordable and good quality.,Strongly agree,Agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Neither agree nor disagree,No,No,Applies,Does not Apply,Applies,Does not Apply,Applies,No,Strongly agree,Strongly agree,Yes,No,4.57
5345,snkhuttvz033m1t3,9/3/2025 14:48,9/3/2025 14:58,Qualified,USA,No Changes,8.78,NextON,30.989595928700000,0,"Yes, I consent",Male,No,No,No,No,No,No,No,No,Yes,39,No,No,No,Yes,No,No,Yes,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,Yes,No,No,No,No,No,No,No,No,No,No,,1 to 2 years ago,Yes,,No,No,No,No,No,No,No,No,No,No,2.83,12,Strongly agree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,No,Neither satisfied nor dissatisfied,Material feels gentle and its build quality is quite good.,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Agree,Agree,No,No,Does not Apply,Applies,Applies,Applies,Does not Apply,No,Strongly agree,Agree,Yes,No,5.90
5347,v1c44csp0a52u9h9,9/3/2025 14:55,9/3/2025 15:04,Qualified,USA,No Changes,7.77,NextON,65.487160619700000,0,"Yes, I consent",Female,No,No,No,No,No,No,No,No,Yes,41,No,No,No,Yes,No,No,Yes,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,Yes,No,No,No,No,No,No,No,No,No,No,,1 to 2 years ago,Yes,,No,No,No,No,No,No,No,No,No,No,1.21,8,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,No,Strongly satisfied,Reduce glare issues and provide clear visions.,Strongly agree,Agree,Strongly agree,Agree,Strongly disagree,Agree,Strongly agree,No,No,Applies,Does not Apply,Applies,Does not Apply,Applies,No,Strongly agree,Strongly agree,Yes,No,6.51
5351,th0xz0qr9a1eprm9,9/3/2025 15:20,9/3/2025 15:29,Qualified,USA,No Changes,6.40,NextON,44.025218997700000,0,"Yes, I consent",Male,No,No,No,No,No,No,No,No,Yes,35,No,No,No,Yes,No,No,Yes,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,Yes,No,No,No,No,No,No,No,No,No,No,,1 to 2 years ago,Yes,,No,No,No,No,No,No,No,No,No,No,1.81,7,Strongly agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,No,Satisfied,"They are safe ,reliable and backed by high quality standards.",Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Agree,Agree,No,No,Does not Apply,Applies,Applies,Applies,Applies,No,Strongly agree,Strongly agree,Yes,No,4.52
5353,f4t2rekzjujtywrd,9/3/2025 16:18,9/3/2025 16:22,Qualified,USA,No Changes,3.83,Dynata,70.766433701300000,0,"Yes, I consent",Male,No,No,No,No,No,No,No,No,Yes,35,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,Yes,No,No,No,No,No,No,No,No,No,No,,7 to 12 months ago,Yes,,No,No,No,No,No,No,No,No,No,No,1.95,12,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,No,Strongly satisfied,They work very well and I rarely suffer discomfort even when wearing them for a long period of time.,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Disagree,No,No,Does not Apply,Applies,Applies,Applies,Applies,No,Strongly agree,Strongly agree,Yes,No,1.86
5578,crre5r0c0m3skckf,9/4/2025 11:00,9/4/2025 11:06,Qualified,USA,No Changes,6.53,Elicit,75.423203197700000,1,"Yes, I consent",Male,No,No,No,No,No,No,No,No,Yes,35,No,No,No,Yes,No,Yes,No,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,Yes,No,No,No,No,No,No,No,No,No,No,,1 to 2 years ago,No,,No,No,No,No,No,No,No,No,Yes,No,3.02,14,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree,No,Satisfied,"Honestly, it has got more to do with how comfortable they are for several hours wearing them, even when i am running around the park with my kids or just staring at my phone for long. They do not dry out and they make my vision clear.",Agree,Agree,Agree,Agree,Strongly disagree,Agree,Strongly agree,No,No,Applies,Applies,Applies,Applies,Applies,Yes,Agree,Agree,Yes,No,3.51
5602,1jxhrqkxrk4yqauu,9/4/2025 11:25,9/4/2025 11:30,Qualified,USA,No Changes,5.50,Torfac,77.806445500600000,0,"Yes, I consent",Female,No,No,No,No,No,No,No,No,Yes,54,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,Yes,No,No,No,No,No,No,No,No,No,No,,1 to 2 years ago,No,,No,No,No,No,No,No,No,No,Yes,No,1.69,15,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,No,Satisfied,They're very comfortable to wear all day and don't try out my eyes,Neither agree nor disagree,Strongly agree,Agree,Agree,Strongly disagree,Agree,Agree,No,No,Applies,Does not Apply,Applies,Applies,Applies,No,Disagree,Agree,Yes,No,3.80
5650,w0wvu4yttcmudwnj,9/4/2025 14:17,9/4/2025 14:22,Qualified,USA,No Changes,5.03,Torfac,64.553252068800000,0,"Yes, I consent",Female,No,No,No,No,No,No,No,No,Yes,38,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,Yes,No,No,No,No,No,No,No,No,No,No,,7 to 12 months ago,Yes,,No,No,No,No,No,No,No,No,No,No,1.81,9,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,No,Strongly satisfied,"They are so comfortable, and I can wear them for 10 hours without drying out",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Agree,No,No,Does not Apply,Applies,Applies,Applies,Applies,No,Strongly agree,Strongly agree,Yes,No,3.21
5884,x323vatsh9y9zxuq,9/4/2025 17:31,9/4/2025 17:39,Qualified,USA,No Changes,7.22,Quest,72.018171421400000,0,"Yes, I consent",Male,No,No,No,No,No,No,No,No,Yes,48,No,No,No,Yes,No,No,Yes,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,No,No,No,No,No,No,No,No,Yes,No,No,,7 to 12 months ago,No,No,No,No,No,No,No,No,No,,Yes,No,2.04,16,Agree,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,No,Satisfied,No itchiness or dryness to speak of. They are very good.,Agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Agree,Agree,No,No,Applies,Does not Apply,Applies,Does not Apply,Applies,No,Agree,Strongly agree,No,Yes,5.17
5992,m5dydv50t9gxuecy,9/4/2025 19:21,9/4/2025 19:32,Qualified,USA,No Changes,10.48,NextON,59.432172041000000,0,"Yes, I consent",Male,No,No,No,No,No,No,No,No,Yes,53,No,No,No,Yes,No,Yes,No,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,Yes,No,No,No,No,No,No,No,No,No,No,,7 to 12 months ago,No,,No,No,No,No,Yes,No,No,Yes,No,Yes,6.84,14,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,No,Strongly satisfied,Because they're the most comfortable that I've ever tried compared to others my eyes do not become itchy gritty after a long day they remain comfortable and they also provide great vision while wearing.,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly agree,No,No,Applies,Does not Apply,Applies,Applies,Applies,No,Strongly agree,Strongly agree,Yes,No,3.62
6001,dparc0pe1b2hed21,9/4/2025 19:51,9/4/2025 19:58,Qualified,USA,No Changes,6.45,NextON,42.329755362600000,0,"Yes, I consent",Male,No,No,No,No,No,No,No,No,Yes,35,No,No,No,Yes,No,No,Yes,No,No,No,No,Daily disposable - intended to be thrown out after 1 day of wear,,No,No,No,No,No,No,No,No,No,Yes,No,No,,More than 2 years ago,No,No,No,No,No,Yes,No,No,No,,No,No,1.42,9,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,No,Satisfied,They feel comfortable all day long without irritation.,Agree,Strongly agree,Agree,Agree,Strongly disagree,Strongly agree,Strongly agree,No,No,Does not Apply,Does not Apply,Applies,Applies,Applies,No,Strongly agree,Agree,No,Yes,4.95
